# All Keywords from Claude Code Conversations
# Extracted from user and assistant message text only
# Excludes: tool usage, hook output, code blocks
# Total unique keywords: 1933
# Total conversations: 668
# Generated: 2025-10-22

Keyword                             Count
------------------------------ ----------
claude                                173
mcp                                   167
info                                  125
python                                 87
javascript                             83
style                                  83
server                                 77
check                                  75
linters                                70
toast                                  67
datahub                                56
docker                                 49
fix                                    46
local                                  45
auth                                   44
authentication                         43
running                                42
stdout                                 40
issues                                 39
analytics                              38
name                                   37
args                                   36
okta                                   36
micrometer                             36
test                                   33
user                                   32
datadog                                31
metrics                                31
bird                                   29
splunk                                 28
project                                28
logging                                27
power                                  27
search                                 26
session                                24
funnel                                 24
exit                                   24
java                                   23
cookies                                23
migration                              22
configuration                          21
js                                     20
container                              20
druid                                  20
caveat                                 20
asks                                   20
respond                                20
task                                   19
otherwise                              19
week                                   18
playwright                             18
issue                                  17
extractor                              17
context                                17
build                                  17
dashboard                              17
ynab                                   17
documentation                          17
marc                                   17
codahale                               17
tokens                                 16
token                                  16
image                                  16
package                                16
directory                              16
coordination                           16
slash                                  15
sourcegraph                            15
browser                                15
username                               15
cloudwatch                             15
jira                                   14
repository                             14
type                                   14
servers                                14
operations                             14
game                                   14
vibe                                   13
vpn                                    13
github                                 13
runbook                                13
trello                                 13
alarm                                  13
jsonl                                  12
json                                   12
formatting                             12
markdown                               12
investigation                          12
elite                                  12
branch                                 12
voice                                  12
py                                     12
metric                                 12
tray                                   12
model                                  11
keychain                               11
menu                                   11
installer                              11
read                                   11
index                                  11
typescript                             11
data                                   11
player                                 11
monitors                               11
card                                   11
atlassian                              11
ecr                                    11
restart                                11
haiku                                  10
api                                    10
npm                                    10
publishing                             10
clear                                  10
tests                                  10
working                                10
mermaid                                10
diagram                                10
system                                 10
roster                                 10
fantasy                                10
spending                               10
cards                                  10
warmup                                  9
installation                            9
turn                                    9
eslint                                  9
lineup                                  9
consider                                9
client                                  9
aws                                     9
application                             9
anthropic                               8
artifactory                             8
cli                                     8
fastmutation                            8
config                                  8
merge                                   8
toasttab                                8
financial                               8
debug                                   8
path                                    8
topic                                   8
autoscaling                             8
food                                    8
analysis                                7
posttooluse                             7
inference                               7
demand                                  7
retry                                   7
settings                                7
cleanup                                 7
scripts                                 7
uninstaller                             7
sys                                     7
memory                                  7
spark                                   7
bye                                     7
mixed                                   7
minisearch                              7
log                                     7
nathannorman                            7
recognized                              7
verification                            7
review                                  7
table                                   7
colima                                  7
repomix                                 7
ts                                      7
reservoir                               7
queue                                   7
birdfeeder                              7
arn                                     6
throughput                              6
invocation                              6
qa                                      6
transcript_path                         6
hook_event_name                         6
session_id                              6
docs                                    6
interactive                             6
toolkit                                 6
pretooluse                              6
packages                                6
homebrew                                6
enhanced                                6
setup                                   6
words                                   6
development                             6
codebase                                6
complete                                6
service                                 6
skipping                                6
sleeper                                 6
pts                                     6
injury                                  6
trade                                   6
points                                  6
connected                               6
status                                  6
professional                            6
rds                                     6
adhd                                    6
saml                                    6
sliding                                 6
metricssystembridge                     6
registry                                6
scaling                                 6
refill                                  6
statechange                             6
action                                  6
nectar                                  6
audit                                   6
brown                                   6
nathan                                  5
utc                                     5
lock                                    5
gradle                                  5
interrupted                             5
pritunl                                 5
manifest                                5
prod                                    5
therapy                                 5
node                                    5
git                                     5
sessionstart                            5
assist                                  5
discussed                               5
rename                                  5
progress                                5
prettier                                5
tool_result                             5
tool_use                                5
block                                   5
ghes                                    5
pages                                   5
guice                                   5
ci                                      5
testing                                 5
com                                     5
day                                     5
month                                   5
mode                                    5
budget                                  5
devin                                   5
cache                                   5
security                                5
resolution                              5
health                                  5
filesystem                              5
window                                  5
visibility                              5
yml                                     5
alisa                                   5
oauth                                   5
platform                                5
module                                  5
goodbye                                 5
gauge                                   5
dual                                    5
unused                                  5
chart                                   5
scale                                   5
banner                                  5
changes                                 5
fill                                    5
round                                   5
analytics_operation                     5
pink                                    5
birds                                   5
australian                              5
batch                                   4
norman                                  4
orphaned                                4
install                                 4
autocompact                             4
request                                 4
unknown                                 4
confluence                              4
logs                                    4
input_data                              4
tool_name                               4
stats                                   4
outage                                  4
sessions                                4
inquirer                                4
dogstatsd                               4
tqr                                     4
public                                  4
results                                 4
query                                   4
terminal                                4
internal                                4
exported                                4
lint                                    4
commit                                  4
suite                                   4
calculator                              4
instances                               4
tagship                                 4
workflow                                4
actions                                 4
runners                                 4
links                                   4
formatter                               4
stop                                    4
woody                                   4
yards                                   4
adp                                     4
season                                  4
matchup                                 4
team                                    4
comments                                4
utm                                     4
device                                  4
jar                                     4
iceberg                                 4
html                                    4
expenses                                4
recurring                               4
ai                                      4
ticket                                  4
profile                                 4
hosts                                   4
raleigh                                 4
diagrams                                4
connection                              4
avg                                     4
metrics_system                          4
optimizer                               4
zeppelin                                4
output                                  4
ago                                     4
indexeddb                               4
art                                     4
business                                4
boards                                  4
preproduction_analytics                 4
redirect                                4
vendor                                  4
sonarqube                               4
svg                                     4
usemcq                                  4
archiving                               4
stories                                 4
wife                                    4
removal                                 4
legacy                                  4
as_count                                4
epic                                    4
meterregistry                           4
smell                                   4
sqs                                     4
lustre                                  4
monitor                                 4
whitespace                              4
snapshot                                4
toastorders                             4
egg                                     4
american                                4
emoji                                   4
prompt                                  3
sonnet                                  3
sentry                                  3
alwaysvisibletools                      3
chrome                                  3
extension                               3
tool_input                              3
exceeds                                 3
size                                    3
notification                            3
notify                                  3
release                                 3
changelog                               3
october                                 3
scala                                   3
bin                                     3
uninstall                               3
push                                    3
login                                   3
filter                                  3
result                                  3
console                                 3
input                                   3
folder                                  3
store                                   3
today                                   3
activity                                3
phase                                   3
analyzer                                3
mock                                    3
left                                    3
work                                    3
swarm                                   3
coordinator                             3
version                                 3
site                                    3
docusaurus                              3
incidents                               3
tds                                     3
andrews                                 3
hopkins                                 3
williams                                3
ceiling                                 3
championship                            3
bench                                   3
asm                                     3
linking                                 3
cash                                    3
balance                                 3
bills                                   3
simulator                               3
page                                    3
animation                               3
tsx                                     3
finance                                 3
desktop                                 3
budgeting                               3
partition                               3
gist                                    3
private                                 3
react                                   3
interview                               3
ips                                     3
dns                                     3
cpu                                     3
containers                              3
voicemode                               3
script                                  3
unity                                   3
friendly                                3
extracted_conversations                 3
revision                                3
env                                     3
bash                                    3
dopamine                                3
prs                                     3
memories                                3
option                                  3
description                             3
sparkapplication                        3
sdk                                     3
diff                                    3
mcq                                     3
hyperspeed                              3
credentials                             3
protocols                               3
values                                  3
multi                                   3
free                                    3
watercolor                              3
readme                                  3
deviceconfig                            3
tables                                  3
chars                                   3
src                                     3
terraform                               3
salesforce                              3
account                                 3
staging                                 3
cycle                                   3
png                                     3
visual                                  3
source                                  3
usemodules                              3
mcqs                                    3
cardmodulemappings                      3
compiled                                3
rfc                                     3
timer                                   3
widgets                                 3
catalog                                 3
panel                                   3
tob                                     3
batchprocessor                          3
longgaugecache                          3
emergency                               3
master                                  3
meterfactory                            3
shadow                                  3
dashboards                              3
main                                    3
